epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1547.07,0.71688,0.66925,1.14659,0.6605,0.64263,0.65067,0.46074,1.17325,1.31367,1.66357,0.000722372,0.000722372,0.000722372
55,1574.25,0.69579,0.65715,1.14687,0.78343,0.63223,0.71281,0.50603,1.13935,1.18285,1.61943,0.00071504,0.00071504,0.00071504
56,1601.57,0.6952,0.64504,1.1331,0.75993,0.63209,0.7019,0.49775,1.12657,1.26192,1.63779,0.000707707,0.000707707,0.000707707
57,1630.06,0.69056,0.64035,1.12732,0.69546,0.67306,0.6677,0.45696,1.1918,1.39342,1.70626,0.000700374,0.000700374,0.000700374
58,1658.61,0.68177,0.62184,1.13578,0.77969,0.6025,0.67044,0.48657,1.12772,1.39095,1.64834,0.000693042,0.000693042,0.000693042
59,1686.89,0.68232,0.63498,1.1253,0.84409,0.60135,0.70402,0.50849,1.12802,1.28372,1.62767,0.000685709,0.000685709,0.000685709
60,1716.1,0.66813,0.60092,1.12675,0.71232,0.60853,0.67141,0.48257,1.16067,1.31231,1.67276,0.000678377,0.000678377,0.000678377
61,1744.89,0.68554,0.61337,1.11777,0.8,0.62231,0.71251,0.51046,1.12871,1.23515,1.62176,0.000671044,0.000671044,0.000671044
62,1773.63,0.65726,0.58281,1.10729,0.68417,0.64855,0.67697,0.49841,1.09897,1.37331,1.62006,0.000663711,0.000663711,0.000663711
63,1802.35,0.66266,0.60707,1.12683,0.72322,0.67206,0.70686,0.51235,1.10125,1.20036,1.60463,0.000656379,0.000656379,0.000656379
64,1831.65,0.66546,0.60432,1.12272,0.75801,0.62829,0.68511,0.49941,1.15739,1.31311,1.64681,0.000649046,0.000649046,0.000649046
65,1860.03,0.66245,0.59716,1.11338,0.7467,0.60908,0.70433,0.50588,1.15519,1.30673,1.6456,0.000641714,0.000641714,0.000641714
66,1888.51,0.66542,0.60406,1.12266,0.8546,0.57644,0.69752,0.51122,1.07794,1.25362,1.60565,0.000634381,0.000634381,0.000634381
67,1917.02,0.64659,0.58728,1.10729,0.75549,0.65304,0.70084,0.52333,1.09845,1.12841,1.58379,0.000627048,0.000627048,0.000627048
